match_id,season,player_name,club_name,minutes_played,goals,assists,shots,shots_on_target,xg,xa,passes,pass_accuracy,tackles,interceptions,dribbles,dribbles_completed,sprints,distance_km,top_speed_kmh,rating
M_2019_ARS_LIV,2019-20,Ibrahima Konate,Liverpool,89,0,1,1,0,0.07,0.0,70,92.0,6,1,0,0,9,11.3,31.4,7.1
M_2019_ARS_LIV,2019-20,Andy Robertson,Liverpool,88,0,0,1,0,0.01,0.0,57,87.9,5,3,3,3,10,9.5,28.9,6.8
M_2019_ARS_LIV,2019-20,Alexis Mac Allister,Liverpool,81,1,0,0,0,0.08,0.17,65,85.5,6,1,2,0,19,10.2,31.4,7.9
M_2019_ARS_LIV,2019-20,Dominik Szoboszlai,Liverpool,87,1,1,0,0,0.06,0.12,88,87.7,4,2,3,1,14,11.0,30.7,7.9
M_2019_ARS_LIV,2019-20,Wataru Endo,Liverpool,82,1,1,0,0,0.09,0.11,61,85.6,3,5,3,1,15,12.2,31.5,7.7
M_2019_ARS_LIV,2019-20,Mohamed Salah,Liverpool,92,2,0,6,2,0.65,0.35,40,83.3,2,2,2,0,22,9.3,30.4,8.5
M_2019_ARS_LIV,2019-20,Luis Diaz,Liverpool,94,1,0,2,2,0.41,0.24,28,83.1,2,0,2,2,24,11.1,30.2,7.8
M_2019_ARS_LIV,2019-20,Darwin Nunez,Liverpool,83,1,0,2,2,0.5,0.25,37,78.1,0,2,3,0,31,9.9,32.2,7.3
M_2019_LIV_ARS,2019-20,Alisson Becker,Liverpool,93,0,0,0,0,0.02,0.0,26,95.2,0,0,0,0,1,4.4,28.7,6.4
M_2019_LIV_ARS,2019-20,Trent Alexander-Arnold,Liverpool,93,0,1,1,0,0.07,0.01,50,92.8,3,4,0,0,13,11.0,29.6,6.8
M_2019_LIV_ARS,2019-20,Virgil van Dijk,Liverpool,86,1,0,1,0,0.07,0.01,71,92.4,4,3,1,0,8,10.7,29.6,7.9
M_2019_LIV_ARS,2019-20,Ibrahima Konate,Liverpool,89,1,1,1,1,0.05,0.04,55,92.6,2,3,1,1,8,9.3,29.7,8.1
M_2019_LIV_ARS,2019-20,Andy Robertson,Liverpool,93,1,1,0,0,0.07,0.01,46,91.0,2,5,1,1,14,9.2,30.7,8.2
M_2019_LIV_ARS,2019-20,Alexis Mac Allister,Liverpool,83,0,2,2,2,0.05,0.08,80,90.9,6,2,2,1,20,12.4,30.7,7.8
M_2019_LIV_ARS,2019-20,Dominik Szoboszlai,Liverpool,92,0,2,0,0,0.04,0.09,75,89.0,5,2,5,3,22,12.3,31.2,7.3
M_2019_LIV_ARS,2019-20,Wataru Endo,Liverpool,90,2,2,0,0,0.1,0.04,67,86.3,2,2,4,4,22,10.2,29.7,9.3
M_2019_LIV_ARS,2019-20,Mohamed Salah,Liverpool,87,0,2,4,3,0.32,0.23,20,86.9,0,1,3,1,30,11.4,32.1,7.7
M_2019_LIV_ARS,2019-20,Luis Diaz,Liverpool,78,0,2,4,1,0.82,0.23,37,84.0,3,2,8,8,24,11.1,32.2,8.5
M_2019_LIV_ARS,2019-20,Darwin Nunez,Liverpool,89,1,2,3,1,0.86,0.1,44,83.2,1,1,5,0,29,9.7,31.1,8.6
M_2019_LIV_ARS,2019-20,David Raya,Arsenal,90,0,0,0,0,0.0,0.0,29,93.7,0,0,0,0,0,3.8,27.3,6.5
M_2019_LIV_ARS,2019-20,Ben White,Arsenal,85,1,0,0,0,0.03,0.04,75,90.9,6,4,3,0,13,9.7,29.6,7.4
M_2019_LIV_ARS,2019-20,William Saliba,Arsenal,89,0,1,1,1,0.0,0.02,66,91.6,3,4,1,0,14,10.5,30.7,6.7
M_2019_LIV_ARS,2019-20,Gabriel Magalhaes,Arsenal,92,0,1,0,0,0.02,0.02,59,88.3,5,3,3,2,9,10.2,31.0,6.8
M_2019_LIV_ARS,2019-20,Oleksandr Zinchenko,Arsenal,86,0,1,2,0,0.06,0.05,51,91.9,6,2,1,0,15,10.7,30.3,7.3
M_2019_LIV_ARS,2019-20,Declan Rice,Arsenal,91,0,2,1,0,0.12,0.03,74,85.9,2,3,5,5,16,11.0,30.9,8.0
M_2019_LIV_ARS,2019-20,Martin Odegaard,Arsenal,87,1,0,0,0,0.13,0.12,62,91.8,6,1,3,3,20,10.9,30.0,7.9
M_2019_LIV_ARS,2019-20,Jorginho,Arsenal,95,1,1,0,0,0.14,0.13,84,91.0,5,2,5,5,14,11.5,31.7,8.0
M_2019_LIV_ARS,2019-20,Bukayo Saka,Arsenal,93,0,1,3,2,0.87,0.29,22,80.8,3,0,8,7,27,10.5,31.5,8.0
M_2019_LIV_ARS,2019-20,Gabriel Martinelli,Arsenal,80,1,2,4,1,0.42,0.09,28,86.8,2,2,2,2,21,9.2,32.9,9.1
M_2019_LIV_ARS,2019-20,Gabriel Jesus,Arsenal,90,2,2,6,3,0.5,0.01,29,80.2,1,1,7,5,25,10.4,31.4,9.6
M_2019_ARS_AVL,2019-20,David Raya,Arsenal,95,0,0,0,0,0.01,0.0,33,89.8,0,0,0,0,1,3.6,29.0,7.0
M_2019_ARS_AVL,2019-20,Ben White,Arsenal,87,1,0,0,0,0.06,0.01,63,92.8,6,5,2,0,11,9.7,29.4,7.6
M_2019_ARS_AVL,2019-20,William Saliba,Arsenal,87,0,1,1,0,0.08,0.03,67,92.6,5,1,0,0,15,10.2,29.4,7.6
M_2019_ARS_AVL,2019-20,Gabriel Magalhaes,Arsenal,92,0,1,0,0,0.03,0.0,65,90.8,3,2,2,0,11,9.3,31.1,7.1
M_2019_ARS_AVL,2019-20,Oleksandr Zinchenko,Arsenal,92,0,0,1,1,0.02,0.03,64,92.7,2,2,1,1,18,9.2,29.0,6.0
M_2019_ARS_AVL,2019-20,Declan Rice,Arsenal,94,0,1,3,1,0.0,0.06,73,91.0,5,1,2,1,22,12.0,30.4,6.7
M_2019_ARS_AVL,2019-20,Martin Odegaard,Arsenal,87,1,1,1,1,0.12,0.01,65,91.7,6,5,3,3,11,11.2,29.2,8.1
M_2019_ARS_AVL,2019-20,Jorginho,Arsenal,95,2,1,3,0,0.09,0.18,75,90.1,2,1,2,2,19,11.5,28.1,9.1
M_2019_ARS_AVL,2019-20,Bukayo Saka,Arsenal,80,1,2,4,4,0.69,0.32,25,88.0,3,2,8,7,19,10.2,31.6,8.6
M_2019_ARS_AVL,2019-20,Gabriel Martinelli,Arsenal,80,1,2,3,3,0.72,0.1,32,86.1,0,1,2,1,22,9.8,33.9,9.3
M_2019_ARS_AVL,2019-20,Gabriel Jesus,Arsenal,75,1,1,6,4,0.52,0.02,36,81.6,3,2,5,0,21,9.7,30.5,8.6
M_2019_ARS_AVL,2019-20,Emiliano Martinez,Aston Villa,95,0,0,0,0,0.0,0.0,45,92.9,0,0,0,0,1,4.4,27.2,6.0
M_2019_ARS_AVL,2019-20,Matty Cash,Aston Villa,91,1,0,0,0,0.08,0.05,59,92.6,3,4,2,2,12,10.0,29.9,7.4
M_2019_ARS_AVL,2019-20,Ezri Konsa,Aston Villa,87,1,1,1,0,0.07,0.03,73,87.0,2,3,3,2,16,9.7,28.0,8.4
M_2019_ARS_AVL,2019-20,Pau Torres,Aston Villa,92,1,1,2,1,0.03,0.03,62,88.6,4,2,1,1,11,11.1,29.6,8.2
M_2019_ARS_AVL,2019-20,Alex Moreno,Aston Villa,91,0,1,1,0,0.04,0.0,61,92.8,4,1,3,0,16,11.3,28.1,7.5
M_2019_ARS_AVL,2019-20,Douglas Luiz,Aston Villa,84,2,0,0,0,0.12,0.05,80,90.5,4,5,4,2,20,11.8,31.0,8.5
M_2019_ARS_AVL,2019-20,Boubacar Kamara,Aston Villa,87,0,1,2,0,0.11,0.09,61,91.5,2,4,2,2,14,12.3,28.2,7.0
M_2019_ARS_AVL,2019-20,John McGinn,Aston Villa,93,0,0,1,0,0.08,0.11,66,86.4,2,5,4,4,20,10.6,31.7,6.5
M_2019_ARS_AVL,2019-20,Leon Bailey,Aston Villa,83,2,1,4,2,0.7,0.31,34,87.0,1,0,5,2,27,9.7,33.8,9.3
M_2019_ARS_AVL,2019-20,Moussa Diaby,Aston Villa,84,2,2,2,1,0.87,0.04,32,83.7,2,2,4,0,31,10.6,31.1,9.7
M_2019_ARS_AVL,2019-20,Ollie Watkins,Aston Villa,76,2,2,5,3,0.85,0.32,44,86.0,2,0,7,3,27,9.6,33.0,9.7
M_2019_AVL_ARS,2019-20,Emiliano Martinez,Aston Villa,89,0,0,0,0,0.02,0.0,45,88.3,0,0,0,0,3,3.1,27.5,6.1
M_2019_AVL_ARS,2019-20,Matty Cash,Aston Villa,89,1,1,1,1,0.01,0.01,62,92.1,4,5,2,0,12,11.3,31.8,8.3
M_2019_AVL_ARS,2019-20,Ezri Konsa,Aston Villa,92,1,1,0,0,0.06,0.01,66,91.1,5,5,2,0,14,9.0,30.1,8.2
M_2019_AVL_ARS,2019-20,Pau Torres,Aston Villa,95,1,1,1,1,0.07,0.05,48,90.7,5,1,2,2,11,10.6,30.5,8.2
M_2019_AVL_ARS,2019-20,Alex Moreno,Aston Villa,86,1,0,0,0,0.08,0.02,60,86.8,3,5,1,1,15,9.9,31.8,7.8
M_2019_AVL_ARS,2019-20,Douglas Luiz,Aston Villa,83,2,2,3,2,0.06,0.19,57,90.9,3,4,4,1,15,10.2,30.7,9.4
M_2019_AVL_ARS,2019-20,Boubacar Kamara,Aston Villa,92,2,0,2,0,0.15,0.19,84,85.8,3,5,1,0,22,10.8,32.0,8.0
M_2019_AVL_ARS,2019-20,John McGinn,Aston Villa,86,0,0,1,0,0.05,0.03,55,87.4,3,2,5,2,22,10.4,30.6,6.0
M_2019_AVL_ARS,2019-20,Leon Bailey,Aston Villa,82,0,1,5,2,0.11,0.09,24,85.4,0,2,2,1,25,10.9,32.1,7.2
M_2019_AVL_ARS,2019-20,Moussa Diaby,Aston Villa,94,0,1,1,1,0.51,0.34,21,88.0,3,1,7,1,25,10.8,31.8,7.6
M_2019_AVL_ARS,2019-20,Ollie Watkins,Aston Villa,77,2,2,2,1,0.66,0.2,42,81.3,2,1,6,4,24,9.2,32.8,9.7
M_2019_AVL_ARS,2019-20,David Raya,Arsenal,91,0,0,0,0,0.01,0.0,32,91.3,0,0,0,0,3,3.8,28.9,6.3
M_2019_AVL_ARS,2019-20,Ben White,Arsenal,90,0,0,2,1,0.03,0.01,74,89.3,2,1,0,0,9,10.9,29.5,6.6
M_2019_AVL_ARS,2019-20,William Saliba,Arsenal,93,0,0,2,1,0.05,0.02,72,90.7,5,1,2,2,12,9.9,30.3,6.7
M_2019_AVL_ARS,2019-20,Gabriel Magalhaes,Arsenal,88,1,1,0,0,0.07,0.02,69,87.9,3,4,0,0,8,9.5,30.8,7.9
M_2019_AVL_ARS,2019-20,Oleksandr Zinchenko,Arsenal,87,1,0,0,0,0.01,0.04,45,86.6,6,2,3,3,15,9.9,29.5,7.8
M_2019_AVL_ARS,2019-20,Declan Rice,Arsenal,84,0,1,1,0,0.1,0.05,82,89.1,5,4,3,1,22,11.3,29.4,7.3
M_2019_AVL_ARS,2019-20,Martin Odegaard,Arsenal,95,2,1,2,0,0.03,0.2,58,85.1,4,2,2,1,14,10.8,28.0,8.7
M_2019_AVL_ARS,2019-20,Jorginho,Arsenal,92,1,0,1,1,0.01,0.17,57,88.7,5,1,3,3,19,11.0,30.6,7.4
M_2019_AVL_ARS,2019-20,Bukayo Saka,Arsenal,85,1,2,2,2,0.51,0.24,31,78.9,0,0,5,4,24,10.3,31.6,8.8
M_2019_AVL_ARS,2019-20,Gabriel Martinelli,Arsenal,85,0,2,2,0,0.56,0.04,36,79.9,2,1,7,2,21,9.3,31.0,7.6
M_2019_AVL_ARS,2019-20,Gabriel Jesus,Arsenal,95,2,1,1,0,0.96,0.22,34,85.5,3,2,6,5,28,11.5,31.3,9.1
M_2019_ARS_UNI,2019-20,David Raya,Arsenal,89,0,0,0,0,0.01,0.0,45,90.4,0,0,0,0,2,4.2,27.4,6.1
M_2019_ARS_UNI,2019-20,Ben White,Arsenal,92,0,1,1,0,0.0,0.04,47,90.5,2,5,3,3,17,10.4,31.2,7.5
M_2019_ARS_UNI,2019-20,William Saliba,Arsenal,94,0,1,2,0,0.03,0.02,49,92.7,5,1,2,2,9,10.3,28.7,7.6
M_2019_ARS_UNI,2019-20,Gabriel Magalhaes,Arsenal,93,1,1,2,0,0.03,0.05,57,88.9,4,5,0,0,9,9.8,30.2,7.8
M_2019_ARS_UNI,2019-20,Oleksandr Zinchenko,Arsenal,95,1,0,2,0,0.03,0.03,49,92.4,4,4,1,0,12,10.4,30.6,7.6
M_2019_ARS_UNI,2019-20,Declan Rice,Arsenal,82,0,2,3,2,0.05,0.07,66,93.1,4,4,2,0,12,10.4,29.2,8.0
M_2019_ARS_UNI,2019-20,Martin Odegaard,Arsenal,81,1,2,2,2,0.02,0.08,65,86.5,6,2,4,0,16,10.9,30.9,8.4
M_2019_ARS_UNI,2019-20,Jorginho,Arsenal,94,2,2,1,0,0.05,0.16,85,92.7,3,3,5,3,17,11.9,31.1,9.5
M_2019_ARS_UNI,2019-20,Bukayo Saka,Arsenal,80,0,0,2,2,0.22,0.09,40,82.8,2,2,2,2,31,10.3,30.5,6.4
M_2019_ARS_UNI,2019-20,Gabriel Martinelli,Arsenal,91,0,1,2,1,0.18,0.32,34,86.8,0,1,2,1,26,9.9,31.5,7.0
M_2019_ARS_UNI,2019-20,Gabriel Jesus,Arsenal,85,0,0,1,1,0.81,0.05,29,87.2,3,2,8,2,30,10.8,31.8,6.4
M_2019_ARS_UNI,2019-20,Andre Onana,Manchester United,91,0,0,0,0,0.02,0.0,42,95.5,0,0,0,0,3,3.2,27.2,6.3
M_2019_ARS_UNI,2019-20,Diogo Dalot,Manchester United,85,1,0,0,0,0.05,0.03,47,86.8,5,5,0,0,10,9.7,28.0,7.5
M_2019_ARS_UNI,2019-20,Lisandro Martinez,Manchester United,87,1,1,2,0,0.04,0.02,75,89.7,6,5,0,0,15,9.1,29.5,8.3
M_2019_ARS_UNI,2019-20,Raphael Varane,Manchester United,90,1,1,0,0,0.02,0.03,48,91.4,4,2,0,0,16,9.8,30.6,8.2
M_2019_ARS_UNI,2019-20,Luke Shaw,Manchester United,87,1,0,0,0,0.0,0.01,70,87.4,2,3,2,2,14,11.5,30.2,7.7
M_2019_ARS_UNI,2019-20,Casemiro,Manchester United,86,2,1,2,1,0.13,0.01,76,87.3,4,4,4,3,16,10.8,28.7,8.8
M_2019_ARS_UNI,2019-20,Bruno Fernandes,Manchester United,88,2,1,0,0,0.01,0.12,66,89.6,4,1,1,1,20,10.7,29.8,8.6
M_2019_ARS_UNI,2019-20,Kobbie Mainoo,Manchester United,94,2,2,2,1,0.01,0.17,77,90.2,5,3,1,0,20,11.6,29.5,9.2
M_2019_ARS_UNI,2019-20,Marcus Rashford,Manchester United,75,1,1,2,2,0.71,0.15,24,78.7,2,1,5,4,18,10.5,32.7,8.3
M_2019_ARS_UNI,2019-20,Alejandro Garnacho,Manchester United,77,0,1,5,1,0.58,0.14,40,80.8,0,0,7,2,25,10.3,33.7,7.7
M_2019_ARS_UNI,2019-20,Rasmus Hojlund,Manchester United,89,2,1,2,2,0.36,0.32,35,80.0,1,0,5,1,32,10.8,34.0,9.3
M_2019_UNI_ARS,2019-20,Andre Onana,Manchester United,89,0,0,0,0,0.01,0.0,34,95.1,0,0,0,0,1,4.4,29.7,6.6
M_2019_UNI_ARS,2019-20,Diogo Dalot,Manchester United,90,0,0,2,0,0.01,0.01,49,87.7,5,1,2,2,17,9.9,31.2,6.1
M_2019_UNI_ARS,2019-20,Lisandro Martinez,Manchester United,91,0,0,2,1,0.04,0.04,71,90.0,3,3,0,0,15,10.7,29.4,6.5
M_2019_UNI_ARS,2019-20,Raphael Varane,Manchester United,85,1,0,0,0,0.02,0.01,74,91.0,4,5,2,0,12,9.5,31.8,7.5
M_2019_UNI_ARS,2019-20,Luke Shaw,Manchester United,94,0,1,2,0,0.04,0.01,75,90.1,3,5,2,2,8,11.1,28.1,7.3
M_2019_UNI_ARS,2019-20,Casemiro,Manchester United,93,1,1,0,0,0.13,0.11,74,89.1,5,3,4,0,21,10.1,29.8,7.8
M_2019_UNI_ARS,2019-20,Bruno Fernandes,Manchester United,84,1,1,2,2,0.05,0.2,77,93.3,3,3,5,4,11,10.8,29.9,7.8
M_2019_UNI_ARS,2019-20,Kobbie Mainoo,Manchester United,83,2,1,0,0,0.14,0.17,81,87.1,3,3,5,5,15,10.5,28.6,9.0
M_2019_UNI_ARS,2019-20,Marcus Rashford,Manchester United,84,2,2,4,0,0.18,0.14,34,87.7,1,2,4,0,18,9.7,32.4,9.6
M_2019_UNI_ARS,2019-20,Alejandro Garnacho,Manchester United,92,2,1,1,0,0.49,0.31,43,81.7,3,1,2,1,18,10.4,30.8,8.8
M_2019_UNI_ARS,2019-20,Rasmus Hojlund,Manchester United,91,1,0,4,4,0.35,0.35,41,84.1,1,0,5,2,30,11.5,32.2,7.4
M_2019_UNI_ARS,2019-20,David Raya,Arsenal,94,0,0,0,0,0.01,0.0,26,88.3,0,0,0,0,2,4.6,28.1,6.2
M_2019_UNI_ARS,2019-20,Ben White,Arsenal,93,1,1,0,0,0.07,0.02,57,92.9,4,5,2,2,16,10.3,30.8,8.4
M_2019_UNI_ARS,2019-20,William Saliba,Arsenal,90,0,0,1,0,0.08,0.03,70,92.3,2,5,3,2,18,11.0,31.1,6.6
M_2019_UNI_ARS,2019-20,Gabriel Magalhaes,Arsenal,87,0,1,2,1,0.01,0.03,46,90.0,2,2,0,0,13,10.0,29.7,7.1
M_2019_UNI_ARS,2019-20,Oleksandr Zinchenko,Arsenal,94,1,1,1,0,0.06,0.03,62,88.3,5,5,3,2,10,10.1,30.1,8.1
M_2019_UNI_ARS,2019-20,Declan Rice,Arsenal,86,2,1,1,1,0.08,0.04,74,91.6,3,4,3,3,15,11.4,31.7,8.7
M_2019_UNI_ARS,2019-20,Martin Odegaard,Arsenal,92,2,1,3,1,0.14,0.16,73,85.4,2,3,4,2,21,11.2,28.8,9.5
M_2019_UNI_ARS,2019-20,Jorginho,Arsenal,88,0,2,1,0,0.09,0.12,70,85.4,6,2,2,0,11,11.0,30.9,8.1
M_2019_UNI_ARS,2019-20,Bukayo Saka,Arsenal,75,2,2,5,1,0.47,0.33,35,82.8,1,1,4,2,28,9.1,33.1,9.6
M_2019_UNI_ARS,2019-20,Gabriel Martinelli,Arsenal,76,2,0,2,1,0.89,0.06,21,88.0,3,1,3,2,32,9.1,31.2,9.2
M_2019_UNI_ARS,2019-20,Gabriel Jesus,Arsenal,85,2,1,3,3,0.99,0.19,35,86.9,1,2,5,2,21,11.0,31.3,9.6
M_2019_ARS_CHE,2019-20,David Raya,Arsenal,90,0,0,0,0,0.0,0.0,35,94.3,0,0,0,0,1,3.4,29.4,6.9
M_2019_ARS_CHE,2019-20,Ben White,Arsenal,91,1,1,2,1,0.01,0.03,50,92.9,5,3,1,0,12,10.0,29.8,7.8
M_2019_ARS_CHE,2019-20,William Saliba,Arsenal,94,1,0,0,0,0.05,0.03,46,90.7,5,3,1,1,18,10.3,31.6,7.6
M_2019_ARS_CHE,2019-20,Gabriel Magalhaes,Arsenal,89,0,0,1,0,0.02,0.01,49,89.2,6,3,3,3,16,11.0,31.3,6.5
M_2019_ARS_CHE,2019-20,Oleksandr Zinchenko,Arsenal,93,0,1,2,1,0.01,0.03,46,91.8,6,2,1,0,13,11.1,29.8,6.7
M_2019_ARS_CHE,2019-20,Declan Rice,Arsenal,94,0,1,0,0,0.02,0.08,58,89.7,4,1,4,2,10,11.9,30.3,7.0
M_2019_ARS_CHE,2019-20,Martin Odegaard,Arsenal,82,1,0,0,0,0.15,0.09,73,88.5,3,4,3,3,17,12.2,31.6,7.7
M_2019_ARS_CHE,2019-20,Jorginho,Arsenal,84,2,1,2,0,0.03,0.11,88,86.1,3,1,1,1,17,11.7,30.2,9.3
M_2019_ARS_CHE,2019-20,Bukayo Saka,Arsenal,82,0,0,4,2,0.24,0.07,43,85.7,0,2,5,4,30,11.3,33.6,6.2
M_2019_ARS_CHE,2019-20,Gabriel Martinelli,Arsenal,94,0,0,1,1,0.64,0.25,21,80.4,0,1,5,1,26,9.5,33.5,6.9
M_2019_ARS_CHE,2019-20,Gabriel Jesus,Arsenal,84,1,0,2,2,0.62,0.2,44,84.7,2,0,4,1,28,10.3,31.7,7.8
M_2019_ARS_CHE,2019-20,Robert Sanchez,Chelsea,90,0,0,0,0,0.01,0.0,38,92.4,0,0,0,0,0,4.9,29.8,6.7
M_2019_ARS_CHE,2019-20,Reece James,Chelsea,93,1,1,1,1,0.03,0.01,50,91.3,5,2,1,1,10,11.0,31.7,8.1
M_2019_ARS_CHE,2019-20,Wesley Fofana,Chelsea,87,0,0,1,0,0.02,0.02,47,92.5,4,1,1,0,12,9.9,30.4,6.2
M_2019_ARS_CHE,2019-20,Levi Colwill,Chelsea,94,0,1,2,0,0.04,0.04,55,88.1,2,2,1,0,15,11.3,30.8,7.5
M_2019_ARS_CHE,2019-20,Ben Chilwell,Chelsea,93,1,0,1,1,0.03,0.03,56,88.2,4,5,3,3,9,11.0,30.9,7.3
M_2019_ARS_CHE,2019-20,Moises Caicedo,Chelsea,93,0,1,0,0,0.11,0.0,90,92.9,6,4,3,1,13,10.8,29.5,7.2
M_2019_ARS_CHE,2019-20,Enzo Fernandez,Chelsea,90,2,2,2,1,0.14,0.13,86,88.9,4,2,2,2,18,11.2,31.7,9.7
M_2019_ARS_CHE,2019-20,Cole Palmer,Chelsea,81,2,2,0,0,0.11,0.08,69,85.6,3,1,2,2,17,10.9,30.5,9.7
M_2019_ARS_CHE,2019-20,Raheem Sterling,Chelsea,90,0,0,1,0,0.58,0.14,20,83.3,2,2,4,0,26,11.0,32.7,7.3
M_2019_ARS_CHE,2019-20,Nicolas Jackson,Chelsea,91,0,1,2,0,0.27,0.18,31,80.7,3,0,4,3,25,10.4,34.0,7.5
M_2019_ARS_CHE,2019-20,Christopher Nkunku,Chelsea,77,1,2,6,0,0.18,0.13,37,82.8,0,2,3,0,25,11.1,32.6,9.2
M_2019_CHE_ARS,2019-20,Robert Sanchez,Chelsea,89,0,0,0,0,0.02,0.0,26,89.8,0,0,0,0,3,3.5,29.7,6.7
M_2019_CHE_ARS,2019-20,Reece James,Chelsea,89,1,1,2,0,0.01,0.04,45,92.7,6,2,3,0,12,9.4,29.0,7.9
M_2019_CHE_ARS,2019-20,Wesley Fofana,Chelsea,87,1,0,2,0,0.04,0.05,46,86.7,3,1,2,2,17,11.4,29.6,7.6
M_2019_CHE_ARS,2019-20,Levi Colwill,Chelsea,92,0,1,1,0,0.03,0.05,58,87.3,6,4,0,0,11,10.8,28.3,7.3
M_2019_CHE_ARS,2019-20,Ben Chilwell,Chelsea,95,1,0,0,0,0.03,0.01,45,92.6,5,3,2,0,10,9.2,29.7,6.9
M_2019_CHE_ARS,2019-20,Moises Caicedo,Chelsea,91,0,1,0,0,0.13,0.0,81,88.3,2,5,2,2,18,10.4,29.5,7.0
M_2019_CHE_ARS,2019-20,Enzo Fernandez,Chelsea,95,0,1,1,0,0.03,0.06,74,89.1,2,3,3,1,21,11.6,30.4,6.7
M_2019_CHE_ARS,2019-20,Cole Palmer,Chelsea,89,1,1,0,0,0.05,0.12,76,88.7,5,5,2,1,15,11.5,30.8,7.7
M_2019_CHE_ARS,2019-20,Raheem Sterling,Chelsea,87,2,2,3,2,0.76,0.22,38,85.8,2,1,4,3,23,9.3,32.3,9.6
M_2019_CHE_ARS,2019-20,Nicolas Jackson,Chelsea,92,2,0,1,1,0.95,0.07,45,80.9,0,1,7,7,20,10.6,31.0,9.0
M_2019_CHE_ARS,2019-20,Christopher Nkunku,Chelsea,87,2,0,1,1,0.99,0.17,32,83.3,3,2,2,1,29,11.2,32.1,8.5
M_2019_CHE_ARS,2019-20,David Raya,Arsenal,91,0,0,0,0,0.01,0.0,36,89.3,0,0,0,0,0,4.1,28.6,6.7
M_2019_CHE_ARS,2019-20,Ben White,Arsenal,90,0,1,1,0,0.0,0.01,61,91.2,6,5,1,1,13,10.0,31.1,7.6
M_2019_CHE_ARS,2019-20,William Saliba,Arsenal,92,1,1,0,0,0.03,0.05,48,91.8,3,3,2,1,15,11.0,30.1,7.6
M_2019_CHE_ARS,2019-20,Gabriel Magalhaes,Arsenal,92,1,1,1,0,0.02,0.04,48,86.2,4,1,1,0,16,9.4,28.6,7.8
M_2019_CHE_ARS,2019-20,Oleksandr Zinchenko,Arsenal,91,1,0,2,0,0.01,0.03,57,86.2,6,2,3,3,14,9.0,28.9,7.5
M_2019_CHE_ARS,2019-20,Declan Rice,Arsenal,85,1,2,2,1,0.03,0.02,86,89.5,4,5,4,4,16,11.5,29.4,8.3
M_2019_CHE_ARS,2019-20,Martin Odegaard,Arsenal,89,0,1,0,0,0.05,0.05,62,86.6,3,5,4,3,19,10.3,29.5,7.3
M_2019_CHE_ARS,2019-20,Jorginho,Arsenal,85,2,2,1,1,0.04,0.04,83,90.3,4,1,4,1,13,12.0,31.9,9.5
M_2019_CHE_ARS,2019-20,Bukayo Saka,Arsenal,90,1,2,4,3,0.54,0.03,20,86.0,1,1,2,1,21,10.3,30.7,9.1
M_2019_CHE_ARS,2019-20,Gabriel Martinelli,Arsenal,90,1,0,5,4,0.2,0.04,44,83.4,2,2,8,0,30,10.8,32.2,7.7
