lead_id,club_name,contact_email,country,signup_date,channel,campaign_id,lead_score
112,Local FC 107,local.fc.107.465@hotmail.com,Brazil,2025-01-25,email,10,27
113,Local FC 167,local.fc.167.631@contacts.org,England,2025-07-07,partnership,10,81
114,Local FC 75,local.fc.75.102@contacts.org,Canada,2025-04-23,facebook,6,38
115,Local FC 51,local.fc.51.94@gmail.com,India,2025-08-10,organic,8,73
116,Local FC 66,local.fc.66.850@hotmail.com,Ireland,2025-08-12,paid_search,4,64
117,Local FC 65,,Wales,2025-04-25,paid_search,10,46
118,Local FC 185,local.fc.185.808@gmail.com,Wales,2024-07-05,facebook,5,72
119,Local FC 170,local.fc.170.797@gmail.com,USA,2025-08-26,referral,8,63
120,Local FC 138,local.fc.138.32@example.com,France,2025-08-02,email,7,77
121,Local FC 106,local.fc.106.623@contacts.org,India,2025-08-20,partnership,3,57
122,Local FC 130,local.fc.130.302@clubmail.co,Scotland,2025-02-20,partnership,8,77
123,Local FC 10,local.fc.10.463@example.com,USA,2025-10-17,email,6,53
124,Local FC 5,local.fc.5.157@clubmail.co,Scotland,2025-07-07,organic,7,46
125,Local FC 5,local.fc.5.601@clubmail.co,Canada,2024-08-27,organic,8,68
126,Local FC 86,local.fc.86.992@contacts.org,Scotland,2025-10-25,referral,5,78
127,Local FC 20,local.fc.20.570@hotmail.com,India,2024-07-08,paid_search,9,80
128,Local FC 187,local.fc.187.629@example.com,India,2025-11-05,partnership,7,50
129,Local FC 193,local.fc.193.317@gmail.com,Wales,2024-11-05,paid_search,6,45
130,Local FC 125,local.fc.125.32@gmail.com,France,2025-02-28,email,7,75
131,Local FC 97,local.fc.97.965@clubmail.co,England,2025-09-08,paid_search,2,58
132,Local FC 21,local.fc.21.678@gmail.com,France,2025-03-09,facebook,8,39
133,Local FC 36,local.fc.36.695@gmail.com,Canada,2025-06-06,facebook,7,35
134,Wolverhampton Wanderers,wolverhampton.wanderers.969@example.com,Spain,2024-09-15,facebook,3,31
135,Liverpool FC,liverpool.fc.721@contacts.org,Canada,2025-07-02,facebook,7,62
136,Watford,watford.80@gmail.com,India,2024-10-12,email,8,31
137,Local FC 162,notanemail,India,2024-11-20,email,5,60
138,Local FC 193,local.fc.193.250@clubmail.co,Scotland,2025-09-16,email,6,69
139,Local FC 60,local.fc.60.523@hotmail.com,Ireland,2025-04-04,facebook,7,47
140,Local FC 70,local.fc.70.203@hotmail.com,Canada,2025-04-22,organic,3,52
141,Local FC 26,local.fc.26.594@contacts.org,India,2025-04-16,partnership,10,73
142,Local FC 143,local.fc.143.155@clubmail.co,Canada,2024-09-21,facebook,7,35
143,Local FC 132,local.fc.132.39@example.com,Scotland,2024-07-07,partnership,9,20
144,Local FC 199,local.fc.199.568@example.com,England,2025-05-23,email,9,71
145,Local FC 188,local.fc.188.155@hotmail.com,Germany,2025-03-23,partnership,7,47
146,Local FC 2,local.fc.2.450@hotmail.com,Germany,2025-05-31,facebook,8,50
147,Local FC 80,local.fc.80.647@clubmail.co,Scotland,2025-07-23,referral,2,76
148,Local FC 154,local.fc.154.929@clubmail.co,Scotland,2025-03-13,referral,3,46
149,Local FC 150,local.fc.150.679@clubmail.co,Scotland,2024-12-27,facebook,8,66
150,Local FC 124,local.fc.124.849@clubmail.co,Brazil,2025-01-08,organic,10,72
151,Local FC 89,local.fc.89.220@gmail.com,Ireland,2025-08-26,paid_search,9,48
152,Local FC 16,local.fc.16.790@clubmail.co,Brazil,2025-01-17,organic,9,72
153,Local FC 150,local.fc.150.167@example.com,India,2025-05-04,paid_search,8,62
154,Local FC 165,local.fc.165.993@contacts.org,USA,2024-11-04,paid_search,5,48
155,Local FC 117,local.fc.117.695@contacts.org,USA,2025-02-14,facebook,10,55
156,Local FC 180,local.fc.180.205@example.com,Spain,2025-06-01,organic,3,81
157,Local FC 145,local.fc.145.867@clubmail.co,Scotland,2025-01-06,paid_search,3,76
158,Local FC 50,local.fc.50.970@example.com,Germany,2024-10-31,organic,9,60
159,Local FC 87,local.fc.87.84@example.com,Scotland,2025-01-26,partnership,1,53
160,Local FC 147,local.fc.147.850@hotmail.com,USA,2025-03-17,email,9,57
161,Local FC 54,local.fc.54.562@gmail.com,France,2025-04-18,organic,8,71
162,Local FC 41,local.fc.41.638@gmail.com,USA,2025-08-24,referral,3,101
163,Local FC 21,LOCAL.FC.21.440@EXAMPLE.COM,India,2025-09-19,email,6,35
164,Local FC 28,local.fc.28.977@gmail.com,Brazil,2024-11-20,referral,7,75
165,Leeds United,leeds.united.383@contacts.org,Scotland,2025-02-03,facebook,1,72
166,Local FC 42,local.fc.42.341@gmail.com,Germany,2025-05-03,partnership,6,42
167,Local FC 25,local.fc.25.187@contacts.org,USA,2025-04-21,organic,2,46
168,Local FC 56,local.fc.56.318@hotmail.com,Brazil,2024-12-16,email,10,57
169,Local FC 173,local.fc.173.887@clubmail.co,Germany,2025-08-25,email,5,53
170,Local FC 83,local.fc.83.709@contacts.org,Brazil,2023-02-30,facebook,10,48
171,Local FC 167,local.fc.167.559@contacts.org,Germany,2025-08-25,partnership,3,64
172,Local FC 56,local.fc.56.455@example.com,Germany,2025-03-28,referral,2,49
173,Local FC 51,local.fc.51.373@gmail.com,Wales,2025-07-06,organic,9,64
174,Local FC 17,local.fc.17.798@contacts.org,India,2025-11-15,organic,6,31
175,Local FC 154,local.fc.154.588@clubmail.co,Germany,2023-02-30,partnership,6,55
176,Local FC 52,local.fc.52.531@gmail.com,Spain,2025-03-19,facebook,8,89
177,Local FC 161,local.fc.161.503@example.com,Scotland,2025-01-01,email,3,56
178,Local FC 25,local.fc.25.991@contacts.org,Germany,2025-05-04,partnership,5,39
179,Sheffield United,sheffield.united.729@clubmail.co,Wales,2025-05-04,facebook,9,54
180,Local FC 111,LOCAL.FC.111.506@HOTMAIL.COM,Germany,2025-03-17,email,7,43
181,Local FC 186,local.fc.186.317@hotmail.com,USA,2025-02-18,referral,9,90
182,Local FC 86,local.fc.86.658@example.com,Brazil,2025-05-17,facebook,7,68
183,Local FC 13,local.fc.13.990@example.com,England,2025-01-25,organic,7,51
184,Local FC 113,local.fc.113.231@hotmail.com,Spain,2025-03-31,organic,10,60
185,Local FC 45,local.fc.45.630@example.com,Wales,2025-04-18,referral,7,44
186,Local FC 129,local.fc.129.863@example.com,England,2025-04-28,organic,2,69
187,Wolverhampton Wanderers,wolverhampton.wanderers.586@example.com,USA,2024-10-10,partnership,8,79
188,Local FC 145,local.fc.145.416@contacts.org,England,2024-07-04,paid_search,2,44
189,Local FC 93,local.fc.93.321@contacts.org,Germany,2024-12-30,email,5,63
190,Local FC 14,local.fc.14.478@example.com,Wales,2024-06-29,organic,7,43
191,Local FC 79,local.fc.79.164@contacts.org,Germany,2025-08-27,paid_search,10,48
192,Local FC 108,local.fc.108.24@contacts.org,USA,2025-08-12,paid_search,6,49
193,Local FC 71,local.fc.71.670@clubmail.co,England,2025-08-16,organic,5,63
194,Local FC 91,LOCAL.FC.91.375@CLUBMAIL.CO,Brazil,2025-03-15,paid_search,2,97
195,Local FC 73,local.fc.73.564@gmail.com,Canada,2024-12-19,referral,10,48
196,Local FC 11,local.fc.11.348@gmail.com,Wales,2025-09-04,paid_search,6,69
197,Local FC 135,local.fc.135.731@example.com,USA,2025-11-02,paid_search,7,96
198,Local FC 136,local.fc.136.167@hotmail.com,Spain,2024-11-17,referral,8,50
199,Local FC 67,local.fc.67.307@example.com,Germany,2025-10-09,partnership,1,87
200,Local FC 9,local.fc.9.894@example.com,USA,2025-05-18,facebook,1,84
201,Local FC 148,local.fc.148.598@example.com,India,2025-10-25,email,7,48
202,Local FC 18,local.fc.18.113@hotmail.com,France,2025-05-01,paid_search,7,60
203,Local FC 33,local.fc.33.754@example.com,Brazil,2025-07-04,paid_search,9,72
204,Local FC 124,local.fc.124.178@contacts.org,Brazil,2025-09-28,facebook,7,-999
205,Local FC 154,local.fc.154.253@clubmail.co,Spain,2025-04-15,facebook,5,70
206,Local FC 161,local.fc.161.957@contacts.org,Spain,2025-01-22,organic,9,37
207,Local FC 127,local.fc.127.354@contacts.org,Spain,2025-11-03,organic,9,85
208,Local FC 54,local.fc.54.263@gmail.com,Brazil,2025-03-16,facebook,4,45
209,Local FC 124,local.fc.124.246@hotmail.com,Brazil,2024-09-26,paid_search,8,62
210,Local FC 144,local.fc.144.103@gmail.com,Brazil,2024-11-17,paid_search,3,61
211,Local FC 102,local.fc.102.293@hotmail.com,Scotland,2024-07-17,partnership,10,95
212,Local FC 127,local.fc.127.904@gmail.com,England,2025-06-05,email,10,79
213,Local FC 182,notanemail,Scotland,2025-01-31,facebook,8,87
214,Local FC 53,local.fc.53.138@example.com,Ireland,2025-09-14,organic,7,-999
215,Local FC 65,local.fc.65.15@contacts.org,India,2024-12-04,partnership,9,24
216,Local FC 174,local.fc.174.847@example.com,France,2025-10-14,partnership,5,19
217,Local FC 5,local.fc.5.7@hotmail.com,Spain,2025-06-08,facebook,4,74
218,Local FC 58,,Ireland,2024-10-03,organic,8,61
219,Local FC 151,local.fc.151.946@clubmail.co,Spain,2024-09-15,partnership,9,32
220,Local FC 11,local.fc.11.981@clubmail.co,India,2025-10-10,facebook,3,58
221,Local FC 87,local.fc.87.846@contacts.org,India,2025-03-09,organic,5,59
222,Local FC 116,local.fc.116.849@gmail.com,India,2025-08-20,referral,7,58
223,Local FC 19,local.fc.19.735@example.com,Brazil,2025-10-31,email,2,73
224,Local FC 188,local.fc.188.60@hotmail.com,Spain,2025-03-11,partnership,8,41
225,Local FC 46,local.fc.46.353@hotmail.com,England,2025-07-12,organic,7,38
226,Local FC 101,local.fc.101.657@contacts.org,France,2025-05-10,facebook,8,79
227,Local FC 78,local.fc.78.678@contacts.org,Germany,2025-09-17,organic,3,70
228,Local FC 118,local.fc.118.4@hotmail.com,USA,2025-07-15,partnership,10,44
229,Local FC 165,local.fc.165.472@example.com,Scotland,2025-05-16,organic,5,39
230,Local FC 88,LOCAL.FC.88.609@GMAIL.COM,England,2025-07-18,paid_search,8,36
231,Local FC 83,local.fc.83.58@example.com,Ireland,2024-07-30,partnership,10,60
232,Local FC 128,local.fc.128.677@clubmail.co,Spain,2025-08-07,organic,6,64
233,Local FC 123,LOCAL.FC.123.508@HOTMAIL.COM,Canada,2025-05-17,partnership,6,55
234,Local FC 78,local.fc.78.308@clubmail.co,USA,2025-02-05,paid_search,9,75
235,Local FC 57,local.fc.57.576@hotmail.com,Brazil,2025-07-15,paid_search,6,48
236,Local FC 80,local.fc.80.461@hotmail.com,Ireland,2025-06-09,organic,2,13
237,Local FC 49,local.fc.49.193@example.com,Canada,2025-11-05,referral,8,87
238,Local FC 36,local.fc.36.217@clubmail.co,Scotland,2024-09-13,partnership,10,55
239,Local FC 174,local.fc.174.407@hotmail.com,Spain,2025-02-10,email,7,66
240,Local FC 100,local.fc.100.904@clubmail.co,USA,2024-02-25,facebook,3,82
241,Local FC 33,local.fc.33.760@contacts.org,India,2025-05-19,referral,5,40
242,Local FC 165,local.fc.165.584@hotmail.com,Canada,2025-10-24,partnership,7,64
243,Local FC 176,local.fc.176.361@contacts.org,USA,2025-08-15,paid_search,9,31
244,Local FC 119,local.fc.119.77@gmail.com,England,2025-07-31,email,8,38
245,Local FC 16,local.fc.16.224@hotmail.com,India,2024-09-07,partnership,6,77
246,Local FC 151,notanemail,France,2025-05-03,organic,7,89
247,Tottenham Hotspur,tottenham.hotspur.515@clubmail.co,Wales,2025-04-21,organic,8,42
248,Local FC 5,local.fc.5.835@hotmail.com,Scotland,2024-09-30,facebook,9,70
249,Local FC 84,local.fc.84.701@hotmail.com,Canada,2025-09-24,organic,2,56
250,Local FC 4,local.fc.4.10@contacts.org,France,2025-09-01,partnership,2,32
251,Local FC 181,local.fc.181.236@gmail.com,India,2024-12-23,email,10,98
252,Local FC 50,local.fc.50.557@gmail.com,Germany,2025-11-13,organic,1,71
253,Local FC 131,local.fc.131.578@contacts.org,France,2025-08-01,partnership,9,50
254,Local FC 65,local.fc.65.81@hotmail.com,England,2025-07-23,organic,10,42
255,Local FC 92,local.fc.92.978@gmail.com,Germany,2025-04-25,organic,10,43
256,Local FC 143,local.fc.143.964@contacts.org,India,2025-03-25,partnership,4,58
257,Local FC 78,local.fc.78.76@example.com,Canada,2025-06-04,paid_search,3,41
258,Local FC 62,,Germany,2025-07-21,facebook,5,75
259,Local FC 7,local.fc.7.525@hotmail.com,Germany,2025-02-20,referral,1,40
260,Local FC 4,notanemail,Scotland,2025-04-18,partnership,6,75
261,Local FC 124,local.fc.124.390@hotmail.com,Spain,2025-10-15,email,5,70
262,Local FC 23,local.fc.23.370@contacts.org,Canada,2025-08-02,email,5,71
263,Local FC 31,local.fc.31.341@hotmail.com,Germany,2025-08-16,email,6,23
264,Local FC 66,local.fc.66.971@example.com,Wales,2025-10-21,email,7,60
265,Local FC 62,local.fc.62.334@contacts.org,France,2025-03-26,facebook,9,41
266,Local FC 10,local.fc.10.699@hotmail.com,USA,2025-02-01,partnership,1,26
267,Local FC 34,local.fc.34.869@clubmail.co,USA,2025-05-11,paid_search,6,35
268,Local FC 42,local.fc.42.76@hotmail.com,India,2025-08-01,email,8,60
269,Local FC 158,local.fc.158.917@gmail.com,Scotland,2025-08-30,organic,8,52
270,Local FC 177,local.fc.177.577@clubmail.co,France,2024-12-12,facebook,8,48
271,Local FC 184,local.fc.184.765@gmail.com,India,2025-01-05,paid_search,8,37
272,Local FC 95,local.fc.95.513@contacts.org,USA,2025-02-16,organic,10,88
273,Local FC 56,local.fc.56.146@gmail.com,Ireland,2025-06-24,referral,6,44
274,Local FC 104,local.fc.104.327@gmail.com,Scotland,2025-02-10,organic,2,55
275,Local FC 198,local.fc.198.759@gmail.com,Wales,2025-03-11,facebook,4,47
276,Local FC 124,local.fc.124.189@contacts.org,France,2025-04-19,organic,8,56
277,Local FC 169,local.fc.169.5@hotmail.com,Scotland,2024-11-19,referral,4,65
278,Local FC 7,local.fc.7.469@example.com,USA,2025-03-15,referral,8,51
279,Local FC 61,local.fc.61.361@example.com,Canada,2025-07-09,partnership,8,51
280,Local FC 185,local.fc.185.321@example.com,Wales,2025-03-07,facebook,5,51
281,Local FC 158,local.fc.158.393@contacts.org,Brazil,2025-03-22,partnership,7,101
282,Local FC 146,local.fc.146.144@hotmail.com,India,2024-12-31,organic,10,53
283,Local FC 72,local.fc.72.987@contacts.org,France,2024-11-14,partnership,8,51
284,Local FC 162,local.fc.162.815@contacts.org,Spain,2025-08-24,paid_search,5,39
285,Local FC 118,local.fc.118.508@contacts.org,Scotland,2025-09-17,facebook,3,52
286,Local FC 179,local.fc.179.779@clubmail.co,France,2025-04-29,organic,7,93
287,Local FC 169,local.fc.169.461@hotmail.com,Scotland,2025-03-17,email,10,55
288,Local FC 11,local.fc.11.706@hotmail.com,Canada,2025-01-05,email,9,15
289,Local FC 23,local.fc.23.584@hotmail.com,Brazil,2025-03-30,paid_search,5,75
290,Local FC 63,local.fc.63.879@clubmail.co,Scotland,2025-11-10,paid_search,10,82
291,Local FC 173,local.fc.173.130@gmail.com,Wales,2025-03-15,partnership,3,51
292,Local FC 63,local.fc.63.276@contacts.org,Scotland,2025-02-02,partnership,6,105
293,Local FC 184,local.fc.184.712@gmail.com,USA,2025-04-06,facebook,6,64
294,Local FC 179,local.fc.179.681@gmail.com,Brazil,2025-07-05,email,10,43
295,Local FC 36,local.fc.36.291@hotmail.com,India,2025-01-05,email,8,42
296,Local FC 182,local.fc.182.857@gmail.com,Wales,2025-04-21,email,3,50
297,Local FC 11,local.fc.11.904@hotmail.com,Spain,2025-02-23,organic,3,66
298,Local FC 148,local.fc.148.170@gmail.com,Ireland,2024-12-07,email,8,49
299,Local FC 148,,Wales,2025-06-08,referral,7,40
300,Local FC 155,local.fc.155.881@gmail.com,Scotland,2025-07-03,paid_search,3,67
301,Local FC 79,local.fc.79.307@gmail.com,Wales,2025-01-16,partnership,9,41
302,Local FC 154,local.fc.154.169@example.com,Canada,2024-12-31,partnership,9,87
303,Local FC 19,local.fc.19.89@example.com,Scotland,2025-03-05,referral,3,97
304,Local FC 70,local.fc.70.661@clubmail.co,India,2025-08-18,partnership,7,35
305,Local FC 136,local.fc.136.309@gmail.com,Ireland,2025-09-29,partnership,8,89
306,Local FC 81,local.fc.81.246@gmail.com,USA,2025-01-30,partnership,3,58
307,Local FC 133,local.fc.133.136@gmail.com,France,2025-03-23,facebook,9,37
308,Local FC 120,local.fc.120.18@contacts.org,Ireland,2024-05-24,organic,1,62
309,Norwich City,norwich.city.514@contacts.org,France,2025-04-16,organic,6,74
310,Local FC 144,local.fc.144.81@example.com,Wales,2025-02-23,referral,4,64
311,Local FC 131,local.fc.131.977@gmail.com,Scotland,2025-08-20,email,2,69
312,Local FC 137,local.fc.137.180@clubmail.co,England,2024-08-11,paid_search,9,86
313,Local FC 108,local.fc.108.266@example.com,Spain,2024-09-20,partnership,3,49
314,Local FC 11,local.fc.11.537@gmail.com,India,2025-09-17,partnership,9,57
315,Leicester City,leicester.city.581@example.com,Scotland,2025-04-24,referral,3,81
316,Local FC 153,notanemail,England,2025-10-12,paid_search,10,90
317,Wolverhampton Wanderers,wolverhampton.wanderers.984@contacts.org,Canada,2025-05-24,email,7,51
318,Local FC 38,local.fc.38.846@contacts.org,Brazil,2025-09-20,partnership,6,26
319,Burnley,burnley.71@example.com,Spain,2025-01-06,facebook,10,61
320,Local FC 3,local.fc.3.804@gmail.com,USA,2025-10-29,facebook,8,34
321,Local FC 132,local.fc.132.816@hotmail.com,France,2025-06-18,organic,1,93
322,Local FC 40,notanemail,Spain,2025-06-07,organic,8,29
323,Local FC 33,local.fc.33.996@hotmail.com,Scotland,2025-06-05,organic,9,54
324,Local FC 40,local.fc.40.470@example.com,Scotland,2025-05-24,referral,2,58
325,Local FC 15,local.fc.15.446@contacts.org,Spain,2025-06-03,facebook,3,73
326,Local FC 186,local.fc.186.77@clubmail.co,India,2024-08-16,organic,3,82
327,Local FC 20,local.fc.20.549@contacts.org,USA,2025-06-08,facebook,9,37
328,Local FC 99,local.fc.99.312@gmail.com,England,2024-05-06,paid_search,9,61
329,Local FC 194,local.fc.194.365@hotmail.com,Spain,2025-04-30,facebook,2,59
330,Local FC 190,local.fc.190.570@gmail.com,USA,2025-04-04,organic,5,57
331,Local FC 16,local.fc.16.134@gmail.com,Canada,2025-07-21,partnership,6,49
332,Local FC 146,local.fc.146.23@example.com,Canada,2025-05-06,email,4,49
